Unnamed: 0,Id,LotArea,MasVnrArea,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
0,1,8450,196.0,150,856,856,854,1710,548,0,61,208500
1,2,9600,0.0,284,1262,1262,0,1262,460,298,0,181500
2,3,11250,162.0,434,920,920,866,1786,608,0,42,223500
3,4,9550,0.0,540,756,961,756,1717,642,0,35,140000
4,5,14260,350.0,490,1145,1145,1053,2198,836,192,84,250000
5,6,14115,0.0,64,796,796,566,1362,480,40,30,143000
6,7,10084,186.0,317,1686,1694,0,1694,636,255,57,307000
7,8,10382,240.0,216,1107,1107,983,2090,484,235,204,200000
8,9,6120,0.0,952,952,1022,752,1774,468,90,0,129900
9,10,7420,0.0,140,991,1077,0,1077,205,0,4,118000
10,11,11200,0.0,134,1040,1040,0,1040,384,0,0,129500
11,12,11924,286.0,177,1175,1182,1142,2324,736,147,21,345000
12,13,12968,0.0,175,912,912,0,912,352,140,0,144000
13,14,10652,306.0,1494,1494,1494,0,1494,840,160,33,279500
14,15,10920,212.0,520,1253,1253,0,1253,352,0,213,157000
15,16,6120,0.0,832,832,854,0,854,576,48,112,132000
16,17,11241,180.0,426,1004,1004,0,1004,480,0,0,149000
17,18,10791,0.0,0,0,1296,0,1296,516,0,0,90000
18,19,13695,0.0,468,1114,1114,0,1114,576,0,102,159000
19,20,7560,0.0,525,1029,1339,0,1339,294,0,0,139000
20,21,14215,380.0,1158,1158,1158,1218,2376,853,240,154,325300
21,22,7449,0.0,637,637,1108,0,1108,280,0,0,139400
22,23,9742,281.0,1777,1777,1795,0,1795,534,171,159,230000
23,24,4224,0.0,200,1040,1060,0,1060,572,100,110,129900
24,25,8246,0.0,204,1060,1060,0,1060,270,406,90,154000
25,26,14230,640.0,1566,1566,1600,0,1600,890,0,56,256300
26,27,7200,0.0,180,900,900,0,900,576,222,32,134800
27,28,11478,200.0,486,1704,1704,0,1704,772,0,50,306000
28,29,16321,0.0,207,1484,1600,0,1600,319,288,258,207500
29,30,6324,0.0,520,520,520,0,520,240,49,0,68500
